source_excel_row,field,original_value,replacement,reason
8541,large_bus,-,0,user_rule_missing_or_dash_is_zero
8543,large_bus,-,0,user_rule_missing_or_dash_is_zero
8628,large_bus,-,0,user_rule_missing_or_dash_is_zero
8629,large_bus,-,0,user_rule_missing_or_dash_is_zero
8630,large_bus,-,0,user_rule_missing_or_dash_is_zero
8631,large_bus,-,0,user_rule_missing_or_dash_is_zero
8637,large_bus,-,0,user_rule_missing_or_dash_is_zero
8638,large_bus,-,0,user_rule_missing_or_dash_is_zero
8639,large_bus,-,0,user_rule_missing_or_dash_is_zero
8649,large_bus,-,0,user_rule_missing_or_dash_is_zero
8650,large_bus,-,0,user_rule_missing_or_dash_is_zero
8688,large_bus,-,0,user_rule_missing_or_dash_is_zero
8690,large_bus,-,0,user_rule_missing_or_dash_is_zero
8691,large_bus,-,0,user_rule_missing_or_dash_is_zero
8692,large_bus,-,0,user_rule_missing_or_dash_is_zero
8693,large_bus,-,0,user_rule_missing_or_dash_is_zero
8697,large_bus,-,0,user_rule_missing_or_dash_is_zero
8698,large_bus,-,0,user_rule_missing_or_dash_is_zero
8699,large_bus,-,0,user_rule_missing_or_dash_is_zero
8703,large_bus,-,0,user_rule_missing_or_dash_is_zero
8704,large_bus,-,0,user_rule_missing_or_dash_is_zero
8705,large_bus,-,0,user_rule_missing_or_dash_is_zero
8721,large_bus,-,0,user_rule_missing_or_dash_is_zero
8723,large_bus,-,0,user_rule_missing_or_dash_is_zero
8748,large_bus,-,0,user_rule_missing_or_dash_is_zero
8754,large_bus,-,0,user_rule_missing_or_dash_is_zero
8755,large_bus,-,0,user_rule_missing_or_dash_is_zero
8756,large_bus,-,0,user_rule_missing_or_dash_is_zero
8760,large_bus,-,0,user_rule_missing_or_dash_is_zero
8761,large_bus,-,0,user_rule_missing_or_dash_is_zero
8762,large_bus,-,0,user_rule_missing_or_dash_is_zero
8766,large_bus,-,0,user_rule_missing_or_dash_is_zero
8767,large_bus,-,0,user_rule_missing_or_dash_is_zero
8768,large_bus,-,0,user_rule_missing_or_dash_is_zero
8769,large_bus,-,0,user_rule_missing_or_dash_is_zero
8770,large_bus,-,0,user_rule_missing_or_dash_is_zero
8771,large_bus,-,0,user_rule_missing_or_dash_is_zero
8790,large_bus,-,0,user_rule_missing_or_dash_is_zero
8791,large_bus,-,0,user_rule_missing_or_dash_is_zero
8792,large_bus,-,0,user_rule_missing_or_dash_is_zero
8803,large_bus,-,0,user_rule_missing_or_dash_is_zero
8838,large_bus,-,0,user_rule_missing_or_dash_is_zero
8847,large_bus,-,0,user_rule_missing_or_dash_is_zero
