intersection_key,road_key,time_key,actual_month,Before,After_year,paired_index,report_year
เกษะโกมล,พระรามที่ 5,07:00-09:00,11,2760.0,1999.0,72.42753623188406,2023
เกษะโกมล,อำนวยสงคราม,07:00-09:00,11,465.0,547.0,117.63440860215053,2023
เกษะโกมล,เศรษฐศิริ,07:00-09:00,11,469.0,553.5,118.01705756929637,2023
เจริญราษฎร์,พระรามที่ 3,07:00-09:00,3,7826.0,6844.0,87.45208280092001,2023
เจริญราษฎร์,เจริญราษฎร์,07:00-09:00,3,1624.5,1285.5,79.1320406278855,2023
แปลงนาม,พลับพลาไชย,07:00-09:00,9,66.5,99.5,149.62406015037595,2023
แปลงนาม,เจริญกรุง,07:00-09:00,9,2197.0,1277.5,58.1474738279472,2023
แปลงนาม,แปลงนาม,07:00-09:00,9,174.5,68.0,38.96848137535817,2023
คอกวัว,ตะนาว,07:00-09:00,9,971.0,837.0,86.19979402677652,2024
คอกวัว,ราชดำเนินกลาง,07:00-09:00,9,4098.0,3827.5,93.39921913128354,2024
ปทุมวัน,พญาไท,07:00-09:00,6,3007.5,3251.5,108.11305070656691,2024
ปทุมวัน,พระรามที่ 1,07:00-09:00,6,2802.5,2298.5,82.01605709188225,2024
ราชเทวี,พญาไท,07:00-09:00,6,4515.5,3772.0,83.53449230428524,2024
ราชเทวี,เพชรบุรี,07:00-09:00,6,4374.5,4149.5,94.85655503486112,2024
หมู่บ้านเศรษฐกิจ,เพชรเกษม,07:00-09:00,10,6568.5,5576.5,84.89761741645734,2024
ห้วยขวาง,ประชาราษฎร์บำเพ็ญ,07:00-09:00,12,1038.0,1163.0,112.04238921001928,2024
ห้วยขวาง,รัชดาภิเษก,07:00-09:00,12,6290.5,6047.5,96.13703203242986,2024
อ.ส.ม.ท.,พระราม 9,07:00-09:00,10,3659.0,3187.0,87.10030062858705,2024
อ.ส.ม.ท.,เพชรอุทัย,07:00-09:00,10,725.5,837.0,115.36871123363197,2024
เทอดดำริ,ประดิพัทธ์,07:00-09:00,3,1344.5,1475.5,109.7433990330978,2024
เทอดดำริ,เทอดดำริ,07:00-09:00,3,1383.0,1422.0,102.81995661605205,2024
ชิดลม,เพลินจิต,07:00-09:00,7,3682.0,2525.0,68.57686040195546,2025
ทองหล่อ,สุขุมวิท,07:00-09:00,11,1114.0,2661.0,238.8689407540395,2025
บางรัก,สีลม,07:00-09:00,6,676.0,748.0,110.65088757396451,2025
บางรัก,เจริญกรุง,07:00-09:00,6,1483.5,1536.5,103.57263228850691,2025
ประชาธรรม,ประชาอุทิศ,07:00-09:00,12,1249.0,975.5,78.10248198558847,2025
ประชาธรรม,ประดิษฐ์มนูธรรม,07:00-09:00,12,5349.0,3935.5,73.57449990652458,2025
ประตูน้ำ,ราชดำริ,07:00-09:00,7,2157.0,1410.0,65.36856745479834,2025
ประตูน้ำ,ราชปรารภ,07:00-09:00,7,928.0,563.5,60.72198275862068,2025
ประตูน้ำ,เพชรบุรี,07:00-09:00,7,3247.0,1811.5,55.78995996304281,2025
ผังเมือง,วัฒนธรรม,07:00-09:00,12,749.5,1388.0,185.19012675116744,2025
พหลโยธิน - เทพรักษ์,พหลโยธิน,07:00-09:00,7,2019.0,3497.0,173.20455671124319,2025
พหลโยธิน - เทพรักษ์,เทพรักษ์,07:00-09:00,7,1727.0,4317.5,250.0,2025
พิบูลสงคราม,ประชาราษฎร์สาย 1,07:00-09:00,10,1758.0,1887.5,107.36632536973833,2025
พิบูลสงคราม,พิบูลสงคราม,07:00-09:00,10,2498.5,2243.0,89.77386431859115,2025
วัดสิงห์,เอกชัย,07:00-09:00,10,1516.5,861.5,56.808440487965704,2025
ศรีอยุธยา,พระรามที่ 6,07:00-09:00,12,4222.5,2991.0,70.8348134991119,2025
ศรีอยุธยา,ศรีอยุธยา,07:00-09:00,12,3675.0,3150.0,85.71428571428571,2025
สวนมิกสกวัน,พิษณุโลก,07:00-09:00,4,1530.0,956.5,62.51633986928105,2025
หมอมี,พระรามที่ 4,07:00-09:00,7,509.5,512.0,100.49067713444553,2025
หมอมี,พระรามที่ 4,07:00-09:00,12,524.0,683.0,130.34351145038167,2025
หมอมี,เจริญกรุง,07:00-09:00,7,1727.5,1671.5,96.75832127351664,2025
