intersection_key,road_key,time_key,covid_period,median,mean,size
จอมทอง,จอมทอง,07:00-09:00,หลังโควิด,544.5,813.5,3
จอมทอง,จอมทอง,07:00-09:00,โควิด,1664.5,1664.5,1
จอมทอง,จอมทอง,09:00-16:00,ก่อนโควิด,1661.857142857143,1661.857142857143,1
จอมทอง,จอมทอง,09:00-16:00,หลังโควิด,1287.5714285714287,1287.5714285714287,1
จอมทอง,จอมทอง,09:00-16:00,โควิด,1421.7142857142858,1421.7142857142858,1
จอมทอง,จอมทอง,16:00-19:00,ก่อนโควิด,1456.0,1456.0,1
จอมทอง,จอมทอง,16:00-19:00,หลังโควิด,1325.0,1325.0,1
จอมทอง,จอมทอง,16:00-19:00,โควิด,1469.6666666666667,1469.6666666666667,1
จอมทอง,วุฒากาศ,07:00-09:00,ก่อนโควิด,761.0,761.0,1
จอมทอง,วุฒากาศ,07:00-09:00,หลังโควิด,397.0,409.6666666666667,3
จอมทอง,วุฒากาศ,07:00-09:00,โควิด,652.0,652.0,1
